,system_name,objname,RA,DEC,nmask,nexp,t_exp,masknames,slitwidth,mean_mjd,collate1d_filename,SN,serendip,marz_flag,marz_z,v,v_err,verr_rand,v_chi2,phot_source,phot_type,gmag_o,rmag_o,gmag_err,rmag_err,EBV,MV_o,rproj_arcm,rproj_kpc,ew_naI,ew_naI_err,ew_mgI,ew_mgI_err,ew_cat,ew_cat_err,ew_feh,ew_feh_err,ew_w1,ew_w2,ew_w3,ew_gl,tmpl_teff,tmpl_feh,gaia_source_id,gaia_pmra,gaia_pmra_err,gaia_pmdec,gaia_pmdec_err,gaia_pmra_pmdec_corr,gaia_parallax,gaia_parallax_err,gaia_aen,gaia_aen_sig,gaia_phot_variable_flag,gaia_rv,gaia_rv_err,gaia_grvs_mag,var_pval,var_max_v,var_max_t,var_short_max_t,flag_short_var,flag_coadd,flag_var,flag_gaia,flag_HB,Pmem_cmd,Pmem_EW,Pmem_parallax,Pmem_pm,Pmem_feh,Pmem_v,Pmem,Pmem_novar,delta_ra_cosdec,delta_dec,cmd_marker,feh_marker,hl_radius_circ,hl_radius_ell,parallax_marker,perp_dist_iso,pm_err_flag,pm_marker,pos_angle,prob_member,prob_nomet,prob_nov,r_proj,radius,radius_ell,sample,v_marker
0,b'W1',b'203Wil',162.26616667,51.11116667,1,3,3600.0,b'203WiSB',0.7,53882.31453366667,b'J104903.88+510640.20_DEIMOS_20060527_20060527.fits',168.30652750264917,0,1,-0.0003337868052246674,-9.069260300410031,1.1018800529847457,0.0,18.293735039871663,b'munozf',b' ',17.46407953097846,16.150426919337292,0.020143485299222674,0.020286941612771503,0.012076212010174822,-1.109799528744368,4.685878342133956,0.05247806608073159,1.8933585486042415,0.12590877712370055,0.5044441620720012,0.05776791475196763,5.724786114862094,0.1598004422316256,-999.0,-999.0,1.201592927533897,2.54635140512205,1.9768417822061468,3.0,3500.0,-0.5,836723714469704192,4.706950963308677,0.03228763863444328,-2.7409769502746797,0.04571332409977913,-0.10658431053161621,2.6184882018054787,0.04651445522904396,0.11780533194541931,1.6990998983383179,b'NOT',-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.7132079999428242,0,0,-999,1,0,0.015414607224959317,0.0,0,0.00591374642765902,1.0,0.9825109869203644,0.0,0.0,-0.04867773552555685,0.06106667000000243,0.0010023906905740965,,1.866786898572427,3.3468705510906958,0.0,0.5674762767772584,0.0,0.0,111.55920560862869,0.0,0.0,0.0,-0.685974109552812,0.07809391859027985,0.07809391859027982,0.0,0.9671848548676469
1,b'W1',b'203Wil',162.539625,51.07086111,1,3,3600.0,b'203WiSB',0.7,53882.31453366667,b'J105009.51+510415.10_DEIMOS_20060527_20060527.fits',61.019909046146566,0,1,-0.012993786805224667,-95.07652986385322,1.1239667773076985,0.0,2.7513629405999076,b'munozf',b' ',19.746511579677342,18.397504392659577,0.020209156340629364,0.020209156340629364,0.010868692438869482,1.1568997339119313,7.495449201282221,0.08394298833801718,1.384940870927835,0.09864441406176701,0.4308309498410711,0.053815189736533035,5.038890521538461,0.17189222452628355,-999.0,-999.0,0.9913576398229158,2.305540098175113,1.7419927835404314,3.0,3500.0,-0.5,835977077353965568,4.089780333735293,0.10867676138877869,-5.882093525099952,0.15962497889995575,-0.0018926914781332016,1.294975984397325,0.1513330042362213,0.344622939825058,1.187132716178894,b'NOT',-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.7132079999428242,0,0,-999,1,0,0.0003325511318161457,0.0,0,2.679181265277077e-06,1.0,0.0009280341047799243,0.0,0.0,0.12322927486644944,0.020761110000002247,0.0,,2.987232832847775,3.050618099887575,0.0,0.8195572904786411,0.0,0.0,352.56312833763855,0.0,0.0,0.0,2.962104448238216,0.12496590684079856,0.12496590684079854,0.0,8.994708327866192e-08
2,b'W1',b'203Wil',162.53279167,51.04927778,1,3,3600.0,b'203WiSB',0.7,53882.31453366667,b'J105007.87+510257.40_DEIMOS_20060527_20060527.fits',56.833864904649936,0,1,-0.00039378680522466746,-26.139817683936673,1.1246037464480383,0.0,1.5720117995769332,b'munozf',b' ',19.011331516204976,18.04181146154238,0.02013181561608391,0.020109947787102782,0.010788956826996177,0.5905914443376155,7.135187942357778,0.0799083541601235,1.057639171121633,0.11010518634405393,0.787126117522534,0.06341549353893758,6.723131116653591,0.17648989417639635,-999.0,-999.0,1.4567683516674401,3.0557659611645147,2.210596803821637,3.0,5000.0,0.0,835976974274755584,-1.8695957802174967,0.09636048972606659,-10.984952068534682,0.13547363877296448,-0.061233848333358765,0.6354438018667437,0.12947149574756622,0.0,0.0,b'NOT',-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.7132079999428242,0,0,-999,1,0,0.12710877065893758,0.7,0,1.5330034039254725e-20,1.0,0.8396863014325123,0.0,0.0,0.11893356615162243,-0.0008222200000034263,0.02268088914769483,,2.84310139201425,3.151649606602682,0.0,0.4201331835567128,0.0,0.0,342.6039050465981,0.0,0.0,0.0,2.713059946407555,0.1189364082325961,0.11893640823259616,0.0,0.652799505998198
3,b'W1',b'203Wil',162.46891667,51.06180556,3,13,21600.0,b'203WiSB+W1_1+W1_6',0.7,53882.31453366667,b'J104952.54+510342.50_DEIMOS_20060527_20060527.fits',131.82652845691817,0,1,0.11705018683921643,-19.512028468536975,0.6939864341468686,0.16821496115850296,1.9765345853644665,b'munozf',b' ',18.631799607164073,18.04528200317691,0.020109947787102782,0.020109947787102782,0.010980639141871824,0.3985832280439361,4.777159715716435,0.05350034383563287,0.24108282839213957,0.07964382100707747,0.10020416274873353,0.05,2.3382399467861483,0.10486975074384504,-2.55703462956419,0.13238277399478318,0.4508698292150167,1.0390185664503049,0.8948869197148429,3.0,5145.502682932547,-2.0,835977180433181056,0.3333704777929013,0.08950962126255035,-0.9885684210086421,0.1435711681842804,-0.08234313130378723,-0.004729900312354318,0.13061673939228058,0.0,3.373036391347709e-15,b'NOT',-999.0,-999.0,0.0,-0.16950824395755756,1.545906873975973,95687.29348639998,2.1584160000784323,0,0,0,1,0,0.9825455301017003,1.0,1,0.9064191449644814,0.976087613432057,0.9591177667873254,0.8337627567065831,1.0,0.07877914741883688,0.01170556000000289,0.9576375773117115,0.8814314622565615,1.903841758016946,1.9569455535268026,1.0,0.04492088350372063,0.0,0.8952131133909322,351.45157380907085,0.6780282181088688,0.7692353258789311,0.7556421289080688,1.8826911843653051,0.07964404687704223,0.07964404687704221,1.0,0.8972874753405358
4,b'W1',b'203Wil',162.42870833,51.073,3,13,21600.0,b'203WiSB+W1_1+W1_6',0.7,53882.31453366667,b'J104942.89+510422.80_DEIMOS_20060527_20060527.fits',133.53549196398873,0,1,-0.00027314649411691014,-11.231300988430872,0.6472186420437581,0.08292011091435447,1.6685610814547445,b'munozf',b' ',18.757483603179967,18.08925963102418,0.02019504889818294,0.020238824076511956,0.011260516643259277,0.4837408654481905,3.4905422093867604,0.03909126478736872,0.5132044089793776,0.061083496493904925,0.6038806183160833,0.05,6.272635436382068,0.09306873629851158,-999.0,-999.0,1.3209911919798365,2.7706578936563475,2.2394487208086025,3.0,5165.986770948853,-0.5,835977627109780224,-3.5000879711675825,0.09613640606403351,-1.5626494024634356,0.1376771479845047,-0.076236791908741,0.3649834764063997,0.1423458307981491,0.26179492473602295,0.811282753944397,b'NOT',-999.0,-999.0,0.0,-0.11986838138020262,1.1017516884999345,95687.29348639998,2.1584160000784323,0,0,0,1,0,0.8380877405676533,1.0,1,0.0843268153158389,1.0,0.9960244843799109,0.07039230742804303,0.0,0.05350255217954123,0.02289999999999992,0.693926787670089,,1.3911720299774306,1.4116035839470638,1.0,0.13053685669730325,0.0,0.0,6.171746283499654,0.0,0.0,0.0,1.3831089357037387,0.058197363254055834,0.058197363254055855,0.0,0.9940957794272436
5,b'W1',b'203Wil',162.30170833,51.09561111,4,16,27000.0,b'203WiSB+W1_3+W1_6+W1_9',0.7,53882.31453366667,b'J104912.41+510544.20_DEIMOS_20060527_20060527.fits',144.22718320832928,0,1,-0.0002808334314845107,-8.660337705142409,0.5608125222791881,0.07443561051036693,1.8074362996204059,b'munozf',b' ',18.76064938614422,18.139465656129055,0.020223748416156685,0.02019504889818294,0.012045841828668519,0.510238608514193,3.1558826798511315,0.03534334754973577,0.5726014176575805,0.05,0.6772209200970921,0.05,6.363374097653387,0.08233817579452642,-999.0,-999.0,1.2902315770323527,2.7932044478427605,2.2666305828374194,3.0,5500.0,-0.37485984521752513,836722782460563840,-8.038896580977934,0.0979965552687645,-6.423261396106362,0.14139924943447113,-0.14530745148658752,0.3670032208090109,0.14173254370689392,0.0,3.332220202960129e-15,b'NOT',-999.0,-999.0,0.0,-0.07248060818113128,1.294869929403772,130320.16490719974,2.1584160000784323,0,0,0,1,0,0.9442033665858227,1.0,1,1.409719334998274e-11,1.0,0.9788631260999415,0.0,0.0,-0.02633480483125291,0.04551110999999963,0.8738057663324309,,1.2569212258947053,2.3276304607499774,1.0,0.07931425564300447,0.0,0.0,103.0556327264058,0.0,0.0,0.0,-0.28393477991143273,0.05258120461659516,0.05258120461659516,0.0,0.9595807543531336
6,b'W1',b'203Wil',162.50545833,51.07872222,1,3,3600.0,b'203WiSB',0.7,53882.31453366667,b'J105001.31+510443.40_DEIMOS_20060527_20060527.fits',49.19349245581167,0,1,-0.0003337868052246674,15.566905077696694,1.123273408543088,0.0,5.428147717365099,b'munozf',b' ',21.44691984468757,19.885072519405018,0.020796393918177256,0.020478281177872325,0.01091615456267129,2.762594137394327,6.339429744110179,0.07099650638616715,2.8535826725652584,0.17206982171914262,0.19938084387876603,0.061075303627234706,1.9314121442772134,0.18131315321733088,-999.0,-999.0,0.45206157091894483,0.7663436287016805,0.713006944656588,3.0,3000.0,-1.0,835977313582039680,-10.75828891796207,0.19879522919654846,-0.44924250860593584,0.26772525906562805,0.04617437720298767,2.535930801607422,0.28160932660102844,0.4603971540927887,0.6695484519004822,b'NOT',-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.7132079999428242,0,0,-999,1,0,5.851674719633579e-07,0.0,0,3.679422239605638e-10,1.0,0.42283699741404535,0.0,0.0,0.10175071871952797,0.028622220000002585,0.0,,2.5266876001327114,2.5283232831083398,0.0,1.0948693879283338,0.0,0.0,358.7111583885704,0.0,0.0,0.0,2.5260483702428282,0.10569976460555174,0.10569976460555172,0.0,0.1453565940254069
7,b'W1',b'203Wil',162.27854167,51.07322222,3,13,21000.0,b'203WiSB+W1_3+W1_5',0.7,53882.31453366667,b'J104906.85+510423.60_DEIMOS_20060527_20060527.fits',98.69873552615586,0,1,0.610473505058418,219.63355382680808,0.721548187897823,0.22631284809047778,2.1891283928914653,b'munozf',b' ',18.66582539762857,18.353337624133914,0.020168291945526773,0.02013181561608391,0.011978926570254803,0.5685278144327164,2.819799188720944,0.031579483004670776,0.22814712353545147,0.05,0.1882957419706176,0.05,3.34742958211,0.09283098918114158,-999.0,-999.0,0.6441947878617879,1.5938086362303232,1.349145341840887,3.0,5999.999999999999,-1.0,836722683677564800,-7.8252076456503605,0.10990472137928009,-13.792225630513256,0.15903183817863464,-0.06801065802574158,0.10377039566062213,0.1574191004037857,0.0,0.0,b'NOT',-999.0,-999.0,0.0,-0.671742212343434,3.1628772915291847,95663.40397142863,3.0732720000087284,0,0,0,1,1,0.5604026828181831,1.0,1,2.8965507159510315e-38,1.0,0.0,0.0,0.0,-0.040898308021540306,0.02312221999999764,0.5864478703939703,,1.1230757818633261,1.7202429868417313,1.0,0.15774014473383335,0.0,0.0,133.51796917882612,0.0,0.0,0.0,-0.7733298070151401,0.04698200354128247,0.04698200354128249,0.0,0.0
8,b'W1',b'203Wil',162.22354167,51.10661111,1,3,3600.0,b'203WiSB',0.7,53882.31453366667,b'J104853.65+510623.80_DEIMOS_20060527_20060527.fits',35.17348575276554,0,1,-0.00039378680522466746,-22.06375684600904,1.1423623160302037,0.0,2.3623772357290926,b'munozf',b' ',21.520891208658202,19.955722150030546,0.02085209821576716,0.02043624231604235,0.012167408835592164,2.83508733002639,5.656365571626102,0.06334673972888853,2.7418996379643965,0.15315303459788013,0.24132053417195237,0.06178930584399282,2.9376582246076763,0.1940204773688425,-999.0,-999.0,0.7233030817472205,1.1861529405539821,1.0282022023064736,3.0,3500.0,0.0,836723744532883840,7.126035410426152,0.23615241050720215,2.3402169255867946,0.31469327211380005,-0.07878904789686203,1.5115522843267652,0.3487296998500824,0.6103930473327637,0.8467837572097778,b'NOT',-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.7132079999428242,0,0,-999,1,0,5.052057782279152e-07,0.0,0,2.95415473568014e-07,1.0,0.9212137710639866,0.0,0.0,-0.07547354137267331,0.05651111000000242,0.0,,2.2538373493967123,3.681458063367233,0.0,1.1009073886025371,0.0,0.0,126.17582255060866,0.0,0.0,0.0,-1.3303615218546359,0.09428552911642912,0.09428552911642911,0.0,0.8141310773716539
9,b'W1',b'203Wil',162.221875,51.1085,1,3,3600.0,b'203WiSB',0.7,53882.31453366667,b'J104853.25+510630.60_DEIMOS_20060527_20060527.fits',34.746955262296005,0,1,0.9155862131947754,-25.65841866826757,1.1489063848716607,0.0,2.543017087136875,b'munozf',b' ',21.188697624146002,19.78961650783369,0.020742468512691542,0.02035779948815687,0.012183083901418224,2.5768028798445144,5.774770091870883,0.06467277470418102,2.294761959967534,0.15734978673040645,0.3053287355481833,0.06008366510202855,4.06795136308531,0.23590408355425377,-999.0,-999.0,0.907699234533222,1.8724542159338302,1.2877979126182577,3.0,3500.0,0.0,836723744532884992,2.5265035172488464,0.22810611128807068,-10.807369286504825,0.3026212155818939,-0.09835661947727203,1.5585603826806647,0.3431723415851593,0.8772361278533936,1.907336950302124,b'NOT',-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.7132079999428242,0,0,-999,1,0,3.443712953755411e-05,0.0,0,1.875339263763936e-18,1.0,0.8504723593699357,0.0,0.0,-0.07652127781211035,0.0583999999999989,0.0,,2.30104558592959,3.7742699071114556,0.0,0.9287219366428966,0.0,0.0,125.64961816083728,0.0,0.0,0.0,-1.3411112593214896,0.09626040701138783,0.09626040701138774,0.0,0.6729028861229235
