# X_606 Y_606 MAG_dp_606 ERR_dp_606 CHI_606 SHARP_606 STMAG_606 RA_606 DEC_606 X_814 Y_814 MAG_dp_814 ERR_dp_814 CHI_814 SHARP_814 STMAG_814 RA_814 DEC_814 ERR_606 ERR_814 sgFlag_606 sgFlag_814 sgXFlag
5420.927 221.208 15.923 0.108 3.964 1.467 26.6112 162.3956 51.0647 5423.11 218.349 16.337 0.1213 3.373 1.386 27.1151 162.3956 51.0647 0.0252 0.0334 0 0 0.0
5180.42 225.372 17.395 0.0952 1.123 0.863 28.0832 162.3925 51.066 5182.398 222.362 16.957 0.1084 1.923 0.984 27.7351 162.3925 51.066 0.0615 0.0479 0 0 0.0
5781.229 225.915 15.783 0.0348 1.27 0.02 26.4712 162.4001 51.0626 5783.318 222.775 15.586 0.0251 0.935 0.162 26.3641 162.4001 51.0626 0.0232 0.0216 1 1 1.0
4195.74 231.193 16.423 0.1047 2.84 0.81 27.1112 162.38 51.0715 4197.743 228.295 16.53 0.0385 0.806 0.043 27.3081 162.38 51.0715 0.0341 0.0373 0 1 0.6
5151.843 233.843 16.601 0.0984 2.326 1.135 27.2892 162.3921 51.0661 5153.989 230.611 16.647 0.1102 2.499 1.194 27.4251 162.3921 51.0661 0.038 0.0399 0 0 0.0
3388.45 236.569 15.251 0.0338 1.651 0.391 25.9392 162.3698 51.076 3390.569 233.541 14.996 0.0171 0.832 -0.027 25.7741 162.3698 51.076 0.0168 0.0154 0 1 0.8
1697.905 243.387 15.859 0.0893 3.158 1.19 26.5472 162.3484 51.0854 1699.979 240.266 15.538 0.0984 4.33 1.334 26.3161 162.3484 51.0855 0.0243 0.021 0 0 0.0
1100.924 244.284 14.977 0.0716 4.039 0.941 25.6652 162.3408 51.0888 1102.912 241.241 15.827 0.1005 3.79 1.256 26.6051 162.3408 51.0888 0.0142 0.0248 0 0 0.0
1705.008 245.759 15.32 0.0817 4.027 1.135 26.0082 162.3485 51.0854 1706.867 242.722 15.67 0.1083 4.464 1.454 26.4481 162.3485 51.0854 0.0175 0.0227 0 0 0.0
105.971 248.138 16.894 0.0564 0.793 0.07 27.5822 162.3282 51.0944 108.007 245.142 16.764 0.0424 0.675 0.237 27.5421 162.3282 51.0944 0.0454 0.0428 1 1 1.0
3788.646 248.452 15.977 0.0415 1.354 0.301 26.6652 162.3747 51.0737 3790.753 245.375 15.908 0.0265 0.805 0.113 26.6861 162.3747 51.0737 0.0261 0.026 1 1 1.0
4554.672 249.199 15.477 0.0802 3.758 1.073 26.1652 162.3844 51.0693 4556.779 246.115 15.975 0.082 2.839 1.009 26.7531 162.3844 51.0693 0.0193 0.027 0 0 0.0
4872.97 251.065 16.882 0.0588 0.979 0.647 27.5702 162.3884 51.0675 4875.286 248.115 16.537 0.0767 1.804 0.861 27.3151 162.3884 51.0675 0.0451 0.0375 0 0 0.0
5495.562 253.857 16.224 0.0358 0.967 0.094 26.9122 162.3962 51.064 5497.694 250.774 15.979 0.0265 0.76 -0.148 26.7571 162.3962 51.064 0.0303 0.0271 1 1 1.0
3251.234 258.634 16.647 0.0518 1.079 0.3 27.3352 162.3679 51.0766 3253.367 255.452 16.468 0.0416 0.932 -0.05 27.2461 162.3679 51.0766 0.0391 0.036 1 1 1.0
207.245 259.055 17.226 0.1353 1.688 0.529 27.9142 162.3294 51.0937 209.798 256.128 17.556 0.1516 1.471 -0.953 28.3341 162.3294 51.0937 0.0555 0.068 0 0 0.0
3180.038 260.16 17.517 0.0851 0.912 -0.069 28.2052 162.367 51.077 3182.231 256.756 17.161 0.0615 0.828 -0.288 27.9391 162.367 51.077 0.0662 0.0539 1 1 1.0
870.708 260.362 15.942 0.0866 2.907 1.261 26.6302 162.3378 51.09 872.81 257.434 16.441 0.0952 2.399 1.243 27.2191 162.3378 51.09 0.0255 0.0354 0 0 0.0
