,gr,r
0,1.734,30.599121911934876
1,1.5820000000000007,30.00212191193488
2,1.529,29.828121911934872
3,1.4510000000000003,29.53012191193488
4,1.314,29.05812191193488
5,1.2119999999999995,28.589121911934875
6,1.149000000000001,28.232121911934875
7,1.0670000000000002,27.67412191193488
8,0.9979999999999992,27.16312191193488
9,0.9440000000000008,26.76712191193488
10,0.8979999999999997,26.43512191193488
11,0.8789999999999996,26.29712191193488
12,0.8509999999999991,26.10212191193488
13,0.7840000000000007,25.72812191193488
14,0.7779999999999996,25.694121911934875
15,0.7020000000000008,25.243121911934875
16,0.6120000000000001,24.70612191193488
17,0.5540000000000003,24.400121911934875
18,0.5110000000000001,24.165121911934875
19,0.4900000000000002,24.05812191193488
20,0.4670000000000005,23.94812191193488
21,0.4459999999999997,23.84012191193488
22,0.4209999999999994,23.71312191193488
23,0.399,23.604121911934875
24,0.3799999999999999,23.48912191193488
25,0.3609999999999997,23.37512191193488
26,0.3439999999999994,23.263121911934878
27,0.3289999999999997,23.16012191193488
28,0.3149999999999995,23.05612191193488
29,0.3049999999999997,22.98312191193488
30,0.29,22.86712191193488
31,0.2750000000000003,22.74112191193488
32,0.2629999999999999,22.626121911934877
33,0.2519999999999998,22.505121911934875
34,0.2409999999999996,22.37512191193488
35,0.2290000000000001,22.20912191193488
36,0.2219999999999995,22.098121911934875
37,0.2160000000000002,21.98812191193488
38,0.2089999999999996,21.85812191193488
39,0.2069999999999998,21.74112191193488
40,0.2070000000000003,21.693121911934877
41,0.2109999999999998,21.554121911934875
42,0.2190000000000003,21.443121911934877
43,0.221,21.418121911934875
44,0.2250000000000001,21.389121911934875
45,0.2410000000000001,21.28512191193488
46,0.262,21.191121911934875
47,0.2869999999999999,21.104121911934875
48,0.3149999999999999,21.02412191193488
49,0.3420000000000001,20.949121911934878
50,0.3679999999999999,20.87312191193488
51,0.391,20.790121911934875
52,0.411,20.68712191193488
53,0.4250000000000002,20.58812191193488
54,0.4329999999999998,20.513121911934878
55,0.439,20.438121911934875
56,0.4449999999999998,20.336121911934875
57,0.451,20.22712191193488
58,0.4569999999999998,20.11612191193488
59,0.4620000000000002,19.99112191193488
60,0.4670000000000001,19.87812191193488
61,0.4709999999999998,19.755121911934875
62,0.4750000000000001,19.624121911934875
63,0.4789999999999998,19.508121911934875
64,0.484,19.386121911934875
65,0.49,19.266121911934874
66,0.494,19.14912191193488
67,0.498,19.03312191193488
68,0.503,18.91312191193488
69,0.509,18.796121911934875
70,0.5139999999999999,18.68312191193488
71,0.5179999999999999,18.572121911934875
72,0.525,18.45712191193488
73,0.5309999999999999,18.34712191193488
74,0.5369999999999999,18.23612191193488
75,0.5429999999999999,18.12612191193488
76,0.55,18.019121911934874
77,0.556,17.914121911934878
78,0.5640000000000001,17.804121911934875
79,0.5700000000000001,17.703121911934875
80,0.577,17.602121911934876
81,0.584,17.497121911934876
82,0.5920000000000001,17.400121911934875
83,0.6,17.303121911934877
84,0.606,17.211121911934875
85,0.6120000000000001,17.137121911934877
86,0.61,17.151121911934876
87,0.611,17.135121911934874
88,0.62,17.035121911934876
89,0.6289999999999999,16.929121911934875
90,0.637,16.834121911934876
91,0.6469999999999999,16.734121911934874
92,0.6569999999999999,16.633121911934875
93,0.6669999999999999,16.540121911934875
94,0.6819999999999999,16.438121911934875
95,0.6980000000000001,16.342121911934875
96,0.7150000000000001,16.247121911934876
97,0.7329999999999999,16.151121911934876
98,0.7569999999999999,16.040121911934875
99,0.78,15.944121911934875
100,0.8070000000000002,15.838121911934875
101,0.831,15.745121911934875
102,0.8630000000000002,15.645121911934876
103,0.8900000000000001,15.556121911934875
104,0.927,15.458121911934876
105,0.97,15.353121911934878
106,1.0139999999999998,15.263121911934874
107,1.0459999999999998,15.183121911934876
108,1.0770000000000002,15.096121911934876
109,1.111,15.002121911934877
110,1.143,14.918121911934875
111,1.1729999999999998,14.832121911934877
112,1.204,14.752121911934877
113,0.8379999999999999,15.635121911934874
114,1.003,15.272121911934876
115,1.205,14.793121911934875
116,1.1709999999999998,14.800121911934877
117,1.1210000000000002,14.919121911934877
118,1.0749999999999995,15.029121911934876
119,1.0510000000000002,15.093121911934876
120,1.0359999999999998,15.122121911934876
121,1.026,15.140121911934877
122,1.0139999999999998,15.162121911934875
123,1.015,15.160121911934876
124,1.0180000000000002,15.153121911934877
125,1.021,15.149121911934875
126,0.99,15.205121911934874
127,0.9409999999999998,15.303121911934875
128,0.8970000000000002,15.399121911934875
129,0.8590000000000002,15.492121911934875
130,0.8260000000000003,15.589121911934877
131,0.7949999999999999,15.687121911934875
132,0.7670000000000001,15.785121911934876
133,0.7399999999999998,15.884121911934876
134,0.716,15.981121911934874
135,0.694,16.079121911934877
136,0.6749999999999998,16.177121911934876
137,0.659,16.275121911934875
138,0.646,16.372121911934876
139,0.6340000000000001,16.469121911934877
140,0.6220000000000001,16.568121911934874
141,0.611,16.666121911934876
142,0.599,16.766121911934874
143,0.5880000000000001,16.866121911934876
144,0.576,16.967121911934875
145,0.5640000000000001,17.069121911934875
146,0.55,17.173121911934874
147,0.536,17.288121911934876
148,0.5249999999999999,17.359121911934874
149,0.526,17.335121911934877
150,0.534,17.278121911934875
151,0.5269999999999999,17.336121911934875
152,0.516,17.423121911934874
153,0.503,17.518121911934877
154,0.489,17.615121911934875
155,0.472,17.713121911934877
156,0.467,17.736121911934877
157,0.467,17.737121911934874
158,0.4549999999999999,17.789121911934878
159,0.433,17.869121911934876
160,0.4029999999999999,17.953121911934875
161,0.37,18.03012191193488
162,0.327,18.107121911934875
