,key,ra,dec,name,host,confirmed_real,confirmed_star_cluster,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,rhalf_physical,rhalf_sph_physical,surface_brightness_rhalf,metallicity,metallicity_em,metallicity_ep,metallicity_type,ll,bb,peri,peri16,peri50,peri84,apo,apo16,apo50,apo84,ecc,ecc16,ecc50,ecc84,fperi,fperi16,fperi50,fperi84,Lz,Lz16,Lz50,Lz84,E,E16,E50,E84
75,ngc_2419,114.535286,38.881944,NGC 2419,sagittarius_1,1,1,0.77,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,19.734,0.059,0.059,Baumgardt2021MNRAS.505.5957B,10.35,0.03,0.03,Baumgardt2020PASA...37...46B,-21.1,0.31,0.31,,,,,Baumgardt2018MNRAS.478.1520B,0.0073,0.0278,0.0278,-0.5226,0.0264,0.0264,Vasiliev2021MNRAS.505.5978V,-2.15,,,,,,,Harris1996AJ....112.1487H,,,,,,,,1.07,0.01,0.01,1.71,0.02,0.02,Munoz2018ApJ...860...66M,12.65,0.71,0.71,Kruijssen2019MNRAS.486.3180K,,,,,-9.384000000000002,0.03,0.03,5.986629995663982,88.47080928705319,2.371434068593018,2.4367504489664356,19.816038729192538,19.816038729192538,20.67169733763081,-2.15,,,spectroscopic,180.3695663337391,25.2414886073907,10.21165039396857,7.670046757779444,10.657689895573304,14.063089802367621,96.92503803049664,94.39082784307713,96.88056951604402,99.4410981821033,0.8093715506025163,0.7453808491761459,0.8013442394044392,0.8538837065567676,0.9866524802814939,0.9859696207903925,0.9867502917567995,0.9873306246451421,-1.8127030654839238,-2.913319578171708,-1.747404754072004,-0.6398323265616855,0.006544045501273945,0.005609758513246354,0.006627834255114647,0.0077404855062056434
76,ngc_6266,255.304153,-30.11339,NGC 6266,,1,1,0.99,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.035,0.036,0.035,Baumgardt2021MNRAS.505.5957B,5.15,0.06,0.06,Baumgardt2020PASA...37...46B,-73.98,0.67,0.67,,,,,Baumgardt2018MNRAS.478.1520B,-4.9778,0.0265,0.0265,-2.9467,0.0263,0.0263,Vasiliev2021MNRAS.505.5978V,-1.18,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,11.78,0.9,0.9,Forbes2010MNRAS.404.1203F,,,,,-8.885,0.06,0.06,5.787029995663982,6.412095765851616,0.10542731804949046,0.1041881747568123,1.8465510206104183,1.8465510206104183,16.01741966104128,-1.18,,,spectroscopic,353.5746329336631,7.317797975326657,0.8372603873874138,0.8485622437952772,0.8787080493632351,0.9637057742124244,2.4566822943256192,2.0924111732925117,2.4258790715344425,2.4691683223482306,0.49163633475735413,0.41166536052006286,0.4347153966408964,0.4743891054572953,0.717438891125634,0.7294034744742974,0.7570847450566894,0.8575940922741626,-0.2006488073342323,-0.21238809736881956,-0.20087269412425018,-0.18909351275376785,-0.17753255528877188,-0.17880191156599765,-0.17753012605986462,-0.1762630714314844
77,ngc_6362,262.979096,-67.048332,NGC 6362,,1,1,2.31,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.418,0.019,0.019,Baumgardt2021MNRAS.505.5957B,7.17,0.04,0.04,Baumgardt2020PASA...37...46B,-14.58,0.18,0.18,,,,,Baumgardt2018MNRAS.478.1520B,-5.5058,0.0238,0.0238,-4.7629,0.024,0.024,Vasiliev2021MNRAS.505.5978V,-0.99,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,12.86,0.44,0.44,Kruijssen2019MNRAS.486.3180K,,,,,-7.247999999999999,0.04,0.04,5.132229995663981,7.648917910070716,0.06663473435442313,0.06722033472301892,5.139703867201656,5.139703867201656,19.8773033207221,-0.99,,,spectroscopic,325.55451770928045,-17.56976366545071,2.4528680341271034,2.453362125212063,2.4758358851116777,2.5220465502387515,5.2423593938466215,5.2155340052569406,5.239081130326383,5.257410681586595,0.36249628563012276,0.3512042567162276,0.35779017909544286,0.3620933061172672,0.9587628151670645,0.9564978308606298,0.9597031455095704,0.9636127289961794,-0.5347700590517835,-0.5389806495229602,-0.5349468161816934,-0.5311859814250878,-0.12674608266436416,-0.12710808656268552,-0.1267296435968498,-0.12632653647326036
78,ngc_7089,323.362579,-0.82325,NGC 7089,,1,1,0.9,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.34,0.021,0.021,Baumgardt2021MNRAS.505.5957B,6.29,0.04,0.04,Baumgardt2020PASA...37...46B,-3.78,0.3,0.3,8.2,0.6,,,Baumgardt2018MNRAS.478.1520B,3.4346,0.0247,0.0247,-2.1588,0.0244,0.0244,Vasiliev2021MNRAS.505.5978V,-1.65,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,12.01,0.46,0.46,Kruijssen2019MNRAS.486.3180K,,,,,-9.05,0.04,0.04,5.853029995663982,11.6949939101987,0.1125554870249168,0.11364927549991499,3.0617422460048003,3.0617422460048003,16.950456245668285,-1.65,,,spectroscopic,53.370878126100195,-35.769759534645544,0.8618144603502439,0.9353842999827391,1.4074790211459103,1.5521790210795061,17.478517751525242,17.24338270825169,17.48584580992963,17.70493589199147,0.9060197546702876,0.8370180320999413,0.8500694857204825,0.8982391446067471,0.5798568157439887,0.5608465612749663,0.5664818062301693,0.5773311756735535,0.267739303767846,0.2450986457002283,0.2686639116883822,0.2916610294214268,-0.07277899756884944,-0.07348461498692486,-0.07275856541635217,-0.07204949371307012
79,ic_1257,261.785431,-7.093056,IC 1257,,1,1,0.53,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.123,0.117,0.117,Baumgardt2021MNRAS.505.5957B,11.97,,,Baumgardt2020PASA...37...46B,-137.97,2.04,2.04,,,,,Baumgardt2018MNRAS.478.1520B,-1.0069,0.04,0.04,-1.4916,0.0321,0.0321,Vasiliev2021MNRAS.505.5978V,-1.7,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,-5.1530000000000005,,,4.294229995663981,26.582755696601645,1.3943894181842431,1.4715806829155156,4.098283398570969,4.098283398570969,21.480623078881425,-1.7,,,spectroscopic,16.527787839209406,15.144968323570101,0.30143182607093927,0.5554281555178573,0.9377341747965596,1.3196258562515157,21.40400919235751,18.70012248629061,20.32022357609705,21.726295633076685,0.9722252290736673,0.8755263031740791,0.9104261064503396,0.9458704616732386,0.9058815789237764,0.9556399280651795,0.9596401015291178,0.9631287611493798,0.012591193120763896,-0.24319656060056039,0.007814778973400053,0.22975364314911625,-0.06638092812720577,-0.07023392724007467,-0.0662165666678039,-0.06251301450190455
80,ngc_6749,286.314056,1.899756,NGC 6749,,1,1,1.89,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.401,0.062,0.061,Baumgardt2021MNRAS.505.5957B,6.28,0.06,0.06,Baumgardt2020PASA...37...46B,-58.44,0.96,0.96,,,,,Baumgardt2018MNRAS.478.1520B,-2.8293,0.0276,0.0276,-6.0057,0.0274,0.0274,Vasiliev2021MNRAS.505.5978V,-1.6,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,-8.120999999999999,0.06,0.06,5.481429995663981,7.589269933627813,0.21362502455899968,0.21621698103456222,4.17241906717913,4.17241906717913,18.551552550167386,-1.6,,,spectroscopic,36.199978966910635,-2.205427229105631,1.3695860286713961,1.3200178951931016,1.3803051627408733,1.4396198001904636,4.933405098345998,4.878856678459022,4.93475527376725,4.99282914236819,0.5654171167080507,0.5525571095280732,0.5630740490208538,0.5744691189032555,0.9811961779224457,0.9786556512134753,0.9815393909293602,0.9845273004591375,-0.48897196182852926,-0.5115427758888875,-0.4888647704460506,-0.4691842453053166,-0.14291244150311833,-0.1438633083650889,-0.142903502718372,-0.141795093949785
81,terzan_10,270.740833,-26.066944,Terzan 10,,1,1,1.16,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.046,0.086,0.086,Baumgardt2021MNRAS.505.5957B,8.03,0.1,0.1,Baumgardt2020PASA...37...46B,211.37,2.27,2.27,,,,,Baumgardt2018MNRAS.478.1520B,2.5655,0.039,0.039,-6.4384,0.0358,0.0358,Vasiliev2021MNRAS.505.5978V,-1.64,0.09,0.09,,,,,Geisler2023A&A...669A.115G,,,,,,,,,,,,,,,,,,,,,,,-7.016,0.1,0.1,5.039429995663982,10.214097519898491,0.39661808969864687,0.4126411341261509,3.4465462156123032,3.4465462156123032,19.241533611802325,-1.64,0.09,0.09,spectroscopic,4.421246224822447,-1.864328121380058,0.46004932656445036,0.47677832317075913,0.6661557962427657,0.9141053114787591,6.838578158110541,5.565557311930911,6.79514109824626,8.03289494027357,0.8739353864735743,0.7661434703210879,0.8158087752128178,0.8659946558247248,0.2946994631441657,0.24193131769610346,0.2705361641195427,0.2914040467375935,-0.09905404097040524,-0.11459958077658637,-0.09882244909953988,-0.0921716516576076,-0.12244041951013691,-0.13252887868553842,-0.12256364562504843,-0.1123362762457462
82,glimpse_01,282.2070833,-1.497222222,Glimpse 1,,1,0,0.6,,,,,,,,,,Kobulnicky2005AJ....129..239K,12.46,0.38,0.325,Kobulnicky2005AJ....129..239K,4.05,,,Kobulnicky2005AJ....129..239K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.41,,,5.5970299956639815,3.104559588128356,0.49840603812946105,0.5012268420880677,0.5418478663719886,0.5418478663719886,13.829999977951058,,,,,31.301971165023843,-0.10221882309657417,,,,,,,,,,,,,,,,,,,,,,,,
83,ngc_5466,211.363709,28.534445,NGC 5466,,1,1,2.04,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.037,0.022,0.022,Baumgardt2021MNRAS.505.5957B,9.32,0.03,0.03,Baumgardt2020PASA...37...46B,106.82,0.2,0.2,,,,,Baumgardt2018MNRAS.478.1520B,-5.3423,0.0245,0.0245,-0.8223,0.0242,0.0242,Vasiliev2021MNRAS.505.5978V,-1.98,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,13.02,0.48,0.48,Kruijssen2019MNRAS.486.3180K,,,,,-6.716999999999999,0.03,0.03,4.919829995663981,16.121297779982424,0.16250630761508766,0.16416108830824783,9.566570682474953,9.566570682474953,21.75739433032552,-1.98,,,spectroscopic,42.15023000772195,73.59224534999672,6.820474722059732,6.697522518086387,6.931723488562488,7.197875461073976,46.43632396718189,44.918561448252696,46.38772010634926,48.148588740239155,0.743864637382437,0.7387284423977742,0.7402106048100836,0.7420398080530483,0.24251679857780445,0.22901083575196754,0.24076057438056775,0.251416130694739,0.9339472480154734,0.905107528190608,0.9330931459630741,0.962916691710112,-0.02295976960162366,-0.02448753439672523,-0.02300579476834072,-0.021321037490118443
84,2ms_gc02,272.4021,-20.778889,2MASS GC-02,,1,1,1.39,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,11.992,0.4,0.363,Baumgardt2021MNRAS.505.5957B,8.69,,,Baumgardt2020PASA...37...46B,-87.0,7.0,7.0,,,,,Kunder2021AJ....162...86K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.08,,,Harris1996AJ....112.1487H,-3.3020000000000014,,,3.553829995663982,2.50264932573108,0.42103628481344035,0.4553631408204666,1.0119077391997418,1.0119077391997418,20.29431763101681,-1.08,,,photometric,9.782106303876821,-0.615164034929773,,,,,,,,,,,,,,,,,,,,,,,,
