,key,ra,dec,name,host,confirmed_real,confirmed_dwarf,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,rhalf_physical,rhalf_sph_physical,surface_brightness_rhalf,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,ll,bb,peri,peri16,peri50,peri84,apo,apo16,apo50,apo84,ecc,ecc16,ecc50,ecc84,fperi,fperi16,fperi50,fperi84,Lz,Lz16,Lz50,Lz84,E,E16,E50,E84
0,virgo_1,180.038,-0.681,Virgo I,MW,1,0,1.76,0.4,0.49,62.0,13.0,8.0,0.59,0.14,0.12,,Homma2018PASJ...70S..18H,19.8,0.2,0.2,Homma2023arXiv231105439H,18.9,0.65,0.72,Homma2023arXiv231105439H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,Putman2021ApJ...913...53P,-0.9000000000000021,0.65,0.72,2.5930299956639824,91.20108393559097,8.02470682532389,8.798916064409028,46.69160308453727,29.8972135395195,30.048766651167117,,2.9453877998904074,,,,,276.94193726736114,59.57767883914041,,,,,,,,,,,,,,,,,,,,,,,,
1,bootes_1,210.02,14.5135,Bootes I,MW,1,1,9.97,0.27,0.27,6.0,3.0,3.0,0.3,0.03,0.03,,Munoz2018ApJ...860...66M,19.11,0.08,0.08,DallOra2006ApJ...653L.109D,13.09,0.25,0.25,Munoz2018ApJ...860...66M,101.8,0.7,0.7,4.6,0.6,0.8,,Koposov2011ApJ...736..146K,-0.385,0.017,0.017,-1.068,0.013,0.013,Pace2022ApJ...940..136P,-2.35,0.08,0.09,0.44,0.06,0.07,,Simon2019ARA&A..57..375S,11.9,1.0,1.0,37.5,0.9,0.9,Munoz2018ApJ...860...66M,11.26,0.27,0.27,0.64,0.03,0.03,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.25,Spekkens2014ApJ...795L...5S,-6.02,0.25,0.25,4.641029995663981,66.37430704019089,2.4008234919260687,2.4909225942365936,192.4958076652067,161.05354754887014,28.58546037807708,,2.4141152947871016,-2.35,0.08,0.09,spectroscopic,358.1019462315029,69.63657618118897,38.90590722329179,34.10827419694811,39.23101877725655,44.41206567996348,85.32813317914805,78.976155337092,85.67538538486318,92.34609357254655,0.3736675214416078,0.35007516044336084,0.37126750365407946,0.3966498727895506,0.5412700004682216,0.4587559336179717,0.5380322662578669,0.6157438625367931,-1.5275825948599462,-1.824722688980315,-1.5502507523196916,-1.2659935184038447,0.009476447138478618,0.006136461222015819,0.009746512255815677,0.013292453926834124
2,pegasus_3,336.1074167,5.4150472,Pegasus III,MW,1,1,1.67,0.21,0.26,83.0,7.0,8.0,0.37,0.09,0.08,,Richstein2022ApJ...933..217R,21.66,0.12,0.12,Kim2016ApJ...833...16K,17.49,0.22,0.19,Richstein2022ApJ...933..217R,-222.9,2.6,2.6,5.4,2.5,3.0,,Kim2016ApJ...833...16K,-0.03,0.21,0.21,-0.58,0.208,0.213,Pace2022ApJ...940..136P,-2.55,0.15,0.15,,,,,Kim2016ApJ...833...16K,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,Putman2021ApJ...913...53P,-4.170000000000002,0.22,0.19,3.9010299956639822,214.7830474130533,11.547346319431199,12.203437775328808,104.33801937595886,82.81573546734775,28.99117736984213,,3.5275369799493363,-2.55,0.15,0.15,spectroscopic,69.85989727072065,-41.82623427259285,212.87090556097175,200.91736055416516,212.21044676767718,224.10095302571798,3921.013691352476,367.54014205523595,542.67448927029,739.7104130350768,0.897011684496509,0.2694642731756094,0.4378895311511013,0.5526915693067783,0.0,0.0,0.0,0.0,-58.38441028496908,-93.3265667376158,-57.17092828422953,-22.751540487405176,0.1344357319525564,0.07507601503319468,0.1553069674824129,0.28376964613469685
3,antlia_2,143.8079,-36.6991,Antlia II,MW,1,1,104.6,8.6,8.6,156.0,2.4,2.4,0.6,0.04,0.04,,Ji2021ApJ...921...32J,20.47,0.09,0.09,Vivas2022ApJ...926...78V,10.74,0.08,0.08,Ji2021ApJ...921...32J,288.8,0.4,0.4,5.98,0.36,0.37,,Ji2021ApJ...921...32J,-0.093,0.008,0.008,0.1,0.009,0.009,Pace2022ApJ...940..136P,-1.9,0.04,0.04,0.34,0.03,0.03,,Ji2021ApJ...921...32J,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,Putman2021ApJ...913...53P,-9.729999999999999,0.08,0.08,6.125029995663981,124.16523075924093,5.04102995650355,5.254353385757696,3777.963882561114,2389.394157349201,30.731784146478468,,1.99153905027405,-1.9,0.04,0.04,spectroscopic,264.8009333626055,11.25426784085826,40.34656481739177,35.8400716961833,40.53707891385253,45.88047257771257,139.58292322009973,120.36453524623185,125.27347547947082,130.40440529250034,0.5515291544765042,0.47469592597472626,0.5100310028220988,0.5457623178338888,0.8543606726055424,1.0,1.0,1.0,-10.875912023723858,-12.021556156224714,-10.890573956544653,-9.849954727225619,0.02223852684174187,0.020562577293810017,0.022339634791376566,0.024024413518718077
4,draco_2,238.1983333,64.56527778,Draco II,MW,1,,3.0,0.5,0.7,76.0,32.0,22.0,0.23,0.15,0.15,,Longeard2018MNRAS.480.2609L,16.67,0.05,0.05,Longeard2018MNRAS.480.2609L,15.87,1.0,0.4,Longeard2018MNRAS.480.2609L,-342.5,1.2,1.1,,,,5.9,Longeard2018MNRAS.480.2609L,1.027,0.065,0.067,0.887,0.072,0.072,Pace2022ApJ...940..136P,-2.7,0.1,0.1,,,,,Longeard2018MNRAS.480.2609L,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8000000000000025,1.0,0.4,2.5530299956639824,21.57744409152669,0.49116259219380254,0.5026032386623207,18.82987217810687,16.523145778203354,28.861076410169233,,,-2.7,0.1,0.1,spectroscopic,98.29423510504377,42.87998521039773,19.29229506336184,18.775403308525703,23.336866740524,24.20746889439452,76.5501761867354,70.91268569361678,76.80168031494068,83.32060875104668,0.5974165771869687,0.5352836539621812,0.5599105272357965,0.5835697025320122,0.07859479114715476,0.0,6.067439271295177e-17,0.08986824447107505,-0.8807932064660428,-1.0056103804444354,-0.8785695168747798,-0.7653773010964008,0.0007067350759209916,-0.001998811796902538,0.0008033473280545967,0.0036140758513136116
5,tucana_3,359.1075,-59.58332,Tucana III,MW,1,0,5.1,1.2,1.2,25.0,38.0,38.0,0.2,0.1,0.1,,MutluPakdil2018ApJ...863...25M,16.8,0.1,0.1,MutluPakdil2018ApJ...863...25M,15.5,0.2,0.2,MutluPakdil2018ApJ...863...25M,-102.3,0.4,0.4,,,,1.5,Simon2017ApJ...838...11S,-0.048,0.036,0.035,-1.638,0.039,0.039,Pace2022ApJ...940..136P,-2.42,0.08,0.07,,,,0.19,Simon2017ApJ...838...11S,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,Putman2021ApJ...913...53P,-1.3000000000000007,0.2,0.2,2.7530299956639817,22.90867652767775,1.031060288182232,1.0796526625172014,33.985705777997076,30.397739353163534,29.684818321623325,,1.8775051211258318,-2.42,0.08,0.07,spectroscopic,315.4235632068869,-56.19088353482841,2.3716712299617924,2.759798710201436,2.9778678183633787,3.2590982725459914,36.156313907626064,34.43899385847632,36.1624387078376,38.071194883709936,0.8768857898230452,0.8351039250046473,0.8477671295943362,0.8591451501948351,0.5531641189868672,0.5374548739663666,0.544915477375961,0.5525218477179739,0.37045433848683135,0.2842195024623372,0.37295096347207046,0.4618573316551935,-0.03622767877721235,-0.038511854712477915,-0.036157745473831576,-0.03369827418145367
6,leo_minor_1,164.261,28.875,Leo Minor I,MW,1,0,1.09,0.35,0.37,,,,,,,0.4,Cerny2023ApJ...953....1C,19.56,0.19,0.11,Cerny2023ApJ...953....1C,17.16,0.4,0.5,Cerny2023ApJ...953....1C,,,,,,,,,-0.01,0.4,0.39,-1.29,0.4,0.37,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3999999999999986,0.4,0.5,3.1930299956639807,81.65823713585922,6.841287084743854,4.243115014680214,25.891225972343367,25.891225972343367,28.236376165017262,,,,,,,202.2323783849381,64.74963315316045,,,,,,,,,,,,,,,,,,,,,,,,
7,leo_4,173.2405,-0.5453,Leo IV,MW,1,1,2.54,0.27,0.27,-28.0,38.0,38.0,0.17,0.09,0.09,,Munoz2018ApJ...860...66M,20.9,0.06,0.06,Medina2018ApJ...855...43M,15.95,0.26,0.26,Munoz2018ApJ...860...66M,131.6,1.2,1.0,3.4,0.9,1.3,,Jenkins2021ApJ...920...92J,-0.1921,0.0514,0.0514,-0.0686,0.0523,0.0523,Julio2024arXiv240416110J,-2.48,0.13,0.16,0.42,0.1,0.12,,Jenkins2021ApJ...920...92J,2.14,0.82,0.82,11.9,3.1,3.1,Munoz2018ApJ...860...66M,2.61,0.31,0.31,0.86,0.26,0.26,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.43,Putman2021ApJ...913...53P,-4.949999999999999,0.26,0.26,4.213029995663981,151.35612484362073,4.1248746003487895,4.24043831688644,111.83038854691922,101.88233269866069,28.661107234154215,,3.36564374169465,-2.48,0.13,0.16,spectroscopic,265.4576584171992,56.50597055154596,77.60083494396994,67.519350604775,102.17323308382826,139.98860826077834,153.09836432276512,147.56321350199562,151.90721685841984,157.14636581337436,0.32725527274806326,0.0554327092195861,0.19412507448109606,0.3806651184234378,0.9843411595690287,1.0,1.0,1.0,-8.79034220113562,-11.929162394117999,-8.701361450669442,-5.5176837214312835,0.028773138540592588,0.025024456229381715,0.029321676996101123,0.035386088098433334
8,carina_1,100.4065,-50.9593,Carina,MW,1,1,10.1,0.1,0.1,60.0,1.0,1.0,0.36,0.01,0.01,,Munoz2018ApJ...860...66M,20.118,0.111,0.111,Karczmarek2015AJ....150...90K,10.688,0.05,0.05,Munoz2018ApJ...860...66M,222.9,0.1,0.1,6.6,1.2,1.2,,Walker2009AJ....137.3100W,0.532,0.006,0.007,0.127,0.006,0.006,Pace2022ApJ...940..136P,-1.8,0.02,0.02,0.24,,,,Simon2019ARA&A..57..375S,7.97,1.6,1.6,58.4,0.98,0.98,Munoz2018ApJ...860...66M,11.43,0.12,0.12,0.94,0.01,0.01,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.42,Putman2021ApJ...913...53P,-9.429999999999998,0.05,0.05,6.005029995663981,105.58445924300804,5.261577185208139,5.537528133865379,310.20406954258874,248.163255634071,26.11429655336378,,3.0426245765129645,-1.8,0.02,0.02,spectroscopic,260.1059874835998,-22.219416167741873,106.16326081044552,92.40954851034755,105.76058783789065,111.80671548856213,124.41386512464538,101.72518894167698,114.60916474118102,139.2501192231862,0.07915184231820781,0.02396080460091733,0.06475670194231617,0.11896822456351275,0.05398353956558281,0.014996294315057581,0.12167395185687062,1.0,-0.9256479658175851,-1.2071365817411135,-0.9249714408698071,-0.6224411473446884,0.0285462080270058,0.023862685700974974,0.02826157003494114,0.03316905075688873
9,leo_5,172.7857,2.2194,Leo V,MW,1,1,1.0,0.32,0.32,-71.0,26.0,26.0,0.43,0.22,0.22,,Munoz2018ApJ...860...66M,21.14,0.06,0.06,Medina2018ApJ...855...43M,16.74,0.36,0.36,Munoz2018ApJ...860...66M,173.1,0.8,1.0,,,,4.7,Jenkins2021ApJ...920...92J,0.1186,0.1943,0.1943,-0.1183,0.1704,0.1704,Julio2024arXiv240416110J,-2.29,0.17,0.14,0.3,0.09,0.14,,Jenkins2021ApJ...920...92J,0.44,0.19,0.19,9.27,5.85,5.85,Munoz2018ApJ...860...66M,1.0,0.22,0.22,1.7,0.36,0.36,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.054,Spekkens2014ApJ...795L...5S,-4.400000000000002,0.36,0.36,3.9930299956639823,169.04409316432634,4.606920842833091,4.735989710611278,49.17293344609224,37.124750621458396,27.018930852352177,,2.560569045938032,-2.29,0.17,0.14,spectroscopic,261.8564384844363,58.53443227730529,158.98388694515256,105.53210806089035,162.20469867615125,170.09115544936608,454.55276295631285,169.69369104439602,233.00677476179374,381.4050101785326,0.4817460799752207,0.10708179100428669,0.265328624342346,0.4549499585071477,0.03667253031614279,0.006488825623482247,0.08497358095253887,1.0,9.188382428743033,-3.6530641455665203,8.980672551352669,22.264093839130744,0.048750130718932694,0.03548406921387634,0.060035000915791954,0.10878622632174165
