,system_name,objname,RA,DEC,nmask,nexp,t_exp,masknames,slitwidth,mean_mjd,collate1d_filename,SN,serendip,marz_flag,marz_z,v,v_err,verr_rand,v_chi2,phot_source,phot_type,gmag_o,rmag_o,gmag_err,rmag_err,EBV,MV_o,rproj_arcm,rproj_kpc,ew_naI,ew_naI_err,ew_mgI,ew_mgI_err,ew_cat,ew_cat_err,ew_feh,ew_feh_err,ew_w1,ew_w2,ew_w3,ew_gl,tmpl_teff,tmpl_feh,gaia_source_id,gaia_pmra,gaia_pmra_err,gaia_pmdec,gaia_pmdec_err,gaia_pmra_pmdec_corr,gaia_parallax,gaia_parallax_err,gaia_aen,gaia_aen_sig,gaia_phot_variable_flag,gaia_rv,gaia_rv_err,gaia_grvs_mag,var_pval,var_max_v,var_max_t,var_short_max_t,flag_short_var,flag_coadd,flag_var,flag_gaia,flag_HB,Pmem_cmd,Pmem_EW,Pmem_parallax,Pmem_pm,Pmem_feh,Pmem_v,Pmem,Pmem_novar,delta_ra_cosdec,delta_dec,radius,radius_ell,hl_radius_circ,hl_radius_ell,r_proj,pos_angle,perp_dist_iso,cmd_marker,prob_member,v_marker,pm_marker,pm_err_flag,parallax_marker,feh_marker,sample,prob_nov,prob_nomet
0,b'W1',b'Wil1_1242',162.55961077,50.9983758,2,11,16200.0,b'Wil1_2B+W1_9',0.75,59969.49891883333,b'J105014.31+505954.15_DEIMOS_20230125_20230125.fits',174.7505164004112,0,1,0.13433449226147642,-24.379727410060003,0.7873394399478689,0.08376162900306754,1.9422402919685497,b'munozf',b' ',17.60530134889188,17.119509396326183,0.0024,0.0023,0.010528544336885666,-0.4739817808411537,8.721541523415683,0.09310763980351204,0.4993428409623294,0.05,0.5190880213425884,0.05425703431543455,5.487366644933222,0.05691021495291045,-1.3664113488779808,0.11607681322537564,1.2324606084867775,2.6692980438224185,-99.0,4.0,5748.306927590038,-0.5,835972919825627136,-11.12957970610863,0.050946708768606186,-5.087259082812029,0.06696624308824539,-0.005147082265466452,0.532419393238471,0.06680828332901001,0.0,0.0,b'NOT',0.0,0.0,0.0,-0.4663154217294714,1.497160717963478,15772.260336800013,2.125991999928374,0,0,0,1,0,0.8155996221705218,1,0,0.000343610730049964,1.0,0.8455307887069408,0.0,0.0,0.13579314143830706,-0.05172420000000244,0.14531059881276492,0.14531059881276484,3.473560130982429,4.867850804588911,2.7427155646659855,322.1479445690751,0.08364792397434441,0.8560623960775644,0.0,0.7244351104594916,0.0,0.0,0.0,0.7212587096832958,0,0.0,0.0
1,b'W1',b'Wil1_1241',162.50781018,50.98476143,1,6,7200.0,b'Wil1_2B',0.75,59969.49891883333,b'J105001.87+505905.14_DEIMOS_20230125_20230125.fits',90.45660451288231,0,1,-0.00020749855464817317,-51.55554083319586,1.1530407966064236,0.0,1.97621672745403,b'munozf',b' ',17.875134135804615,17.508973306584927,0.0028,0.0029,0.010499733370431663,-0.14481195674879999,7.33243234531418,0.07827807980227733,0.18946219796389713,0.0729888835409364,0.1357901296346883,0.05123347074574679,3.2149000402615417,0.09997950120008589,-2.2560397961388805,0.12060085572489879,0.7203571930499012,1.3875442730834149,1.1069985741282253,2.0,6500.0,-1.0,835973538300919552,-1.1463675747464332,0.06101900339126587,-6.69125817691689,0.08975806087255478,-0.08776796609163284,0.05187128456455725,0.08663222938776016,0.06722771376371384,0.1175975576043129,b'NOT',0.0,0.0,0.0,-999.0,-999.0,-999.0,1.7811600000131875,0,0,-99,1,0,0.5544230000659228,1,1,0.028661182746236993,1.0,0.1377563346695575,0.00218900586727979,0.0,0.10322918712965042,-0.06533857000000154,0.12216952895502824,0.12216952895502825,2.920387146335337,4.592344053342032,1.9031572950893199,310.6683712226663,0.13714465224605982,0.658580527572424,0.0,0.027361225368657368,0.0,0.0,1.0,0.9853436969977812,0,0.0,0.0
2,b'W1',b'Wil1_1178',162.60874856,51.019071,1,6,7200.0,b'Wil1_2B',0.75,59969.49891883333,b'J105026.10+510108.66_DEIMOS_20230125_20230125.fits',78.60870880506816,0,1,-0.00017749855464817317,16.175436558678342,1.128897748807838,0.0,1.413052886709342,b'munozf',b' ',18.028104052385675,17.642714110373994,0.0023,0.0023,0.010615895719297734,-0.001379680112567172,10.174869671829786,0.10862277112156508,0.31400503228441645,0.07161754050079298,0.34311598660946346,0.05415539190731452,5.286898318746271,0.08419646016275685,-1.3272781625275278,0.11833680937270429,1.125856601942757,2.3326398474042,1.8284018693993134,2.0,6000.0,-0.5,835974466013853440,-10.983051292271341,0.0656052902340889,-1.9735658852587887,0.09685053676366806,-0.06525876373052597,0.25401822782239025,0.09143609553575516,0.0,0.0,b'NOT',0.0,0.0,0.0,-999.0,-999.0,-999.0,1.7811600000131875,0,0,-99,1,0,0.6219502443636239,1,1,0.00210513079528575,1.0,0.31065435380571005,0.0004067355865667466,0.0,0.16668315154028648,-0.031029000000003748,0.16954666569532514,0.16954666569532517,4.052908343314546,5.041718994259542,3.593495352933238,332.4547758850442,0.10722114311574263,0.7746415336863838,0.0,0.1337110126065743,0.0,0.0,1.0,0.696062520512169,0,0.0,0.0
3,b'W1',b'Wil1_1249',162.44480298,50.96734659,1,6,7200.0,b'Wil1_2B',0.75,59969.49891883333,b'J104946.75+505802.45_DEIMOS_20230125_20230125.fits',69.02183132893533,0,1,-0.00016749855464817318,33.825604321602654,1.1333465024696388,0.0,1.4832846497324463,b'munozf',b' ',18.593747496911195,18.117036807647498,0.0025,0.0027,0.010518955080264281,0.5189686737759516,6.263575926021976,0.0668674047322017,0.3957957939463992,0.07150962030824916,0.5384747815624372,0.05806944819533396,5.999731880056833,0.10046241119459388,-0.8860000929560596,0.12150228544207158,1.3159229876104133,2.617436058948909,2.0663728334975118,2.0,5500.0,-0.5,835973190408135680,-2.638779828210672,0.09389252215623856,-7.160508782230602,0.12923800945281982,-0.042183030396699905,0.10394582913760167,0.1412173956632614,0.0,0.0,b'NOT',0.0,0.0,0.0,-999.0,-999.0,-999.0,1.7811600000131875,0,0,-99,1,0,0.9378417611237156,1,1,0.011244593315029614,1.0,0.0501593149476818,0.0005289625394345668,0.0,0.06362030271507274,-0.08275341000000225,0.10438232505642879,0.10438232505642878,2.4951950212692147,4.494444527238282,0.8759914543962993,290.55285692711726,0.06690898174241355,0.9053579615828671,0.0,0.005463355079104256,0.0,0.0,1.0,0.40923470383939103,0,0.0,0.0
4,b'W1',b'Wil1_1247',162.47465743,50.93552491,1,6,7200.0,b'Wil1_2B',0.75,59969.49891883333,b'J104953.92+505607.89_DEIMOS_20230125_20230125.fits',67.66247409014838,0,1,-0.00026749855464817317,-53.03255398899842,1.148080668526471,0.0,1.4822530841562143,b'munozf',b' ',18.605857239570494,18.184087691361796,0.002,0.0025,0.010704035159551036,0.5583292223985303,8.469414935632734,0.0904160399978108,0.43853519561404414,0.0691068338176732,0.395792338043302,0.05670465387930999,5.527841321942321,0.09817074783511598,-999.0,-999.0,1.1604851673114647,2.4097549031572116,1.957601251473645,2.0,6000.0,-0.5,835972301350338432,-0.44537932165273264,0.09308631718158722,-4.154394803672491,0.14548622071743011,-0.07101055234670639,0.24735958502435193,0.14293572306632996,0.0,0.0,b'NOT',0.0,0.0,0.0,-999.0,-999.0,-999.0,1.7811600000131875,0,0,-99,1,1,0.8023689116626722,1,1,0.3873435346898615,1.0,0.11787564350917636,0.03663485536997577,0.0,0.08238802226634845,-0.11457509000000243,0.1411213572123971,0.1411213572123971,3.373418897507501,6.124705176335854,1.0826185612502577,288.7189477361604,0.12208602897331877,0.7181539148416536,0.0,0.020684676100298796,0.0,0.0,1.0,,0,0.0,0.0
5,b'W1',b'Wil1_5046',162.36337257,50.99056357,2,9,12600.0,b'Wil1_2B+W1_4',0.75,59969.49891883333,b'J104927.21+505926.03_DEIMOS_20230125_20230125.fits',62.72128039322913,0,1,0.07619336537822143,156.14373557474673,0.9711049688822291,0.37296466800540584,4.011483441258111,b'munozf',b' ',19.149284851952434,18.63223910890339,0.0034,0.0035,0.011158484722162269,1.0544998421396592,3.648103433298976,0.03894568118213888,0.14080607433589046,0.055789186398606784,0.26068024572691084,0.05438600070828359,3.5900917163825583,0.14818566328709856,-1.8154961395402918,0.13125611609554802,0.7454146794499619,1.5660407001301981,1.3787904912364852,2.0,4903.042953354429,-2.7959427288607626,835970682147240832,-17.81930252784969,0.1266869753599167,-15.990805706624688,0.17423026263713837,-0.06815087795257568,0.3959997933412959,0.17774567008018494,0.0,0.0,b'NOT',0.0,0.0,0.0,-0.32409782957073846,1.4200493042460494,138965.79883599974,1.7811600000131875,1,0,0,1,0,0.9746879662358917,1,1,5.00112355828213e-19,1.0,0.0,0.0,0.0,0.0124298403945647,-0.05953643000000142,0.06082012355610124,0.06082012355610115,1.4538674953649702,2.735009587576414,-0.13195343538699478,264.79265248967704,0.050973877575299684,0.9439521843187597,0.0,0.0,0.0,0.0,1.0,0.9522535990351215,0,0.0,0.0
6,b'W1',b'Wil1_1332',162.39654443,50.9787551,1,6,7200.0,b'Wil1_2B',0.75,59969.49891883333,b'J104935.17+505843.52_DEIMOS_20230125_20230125.fits',27.82894536269745,0,1,0.9153625014453519,-102.64696605409203,1.3025783333581578,0.0,1.4731167025864158,b'munozf',b' ',19.797465186834547,19.252625485177273,0.0031,0.0028,0.010751792712226106,1.6888943735520883,4.722878346146198,0.050419543157041884,0.38364101224021546,0.14908711932293572,0.336092646401258,0.06562065091030496,5.952286055587309,0.22430461943494473,-0.586130217045522,0.1544907766860063,1.283235449874552,2.4890963264853294,2.1799542792274273,2.0,5500.0,-0.5,835976282784591744,-2.745244143213285,0.1789112240076065,-9.813397903464406,0.25591108202934265,-0.08207601308822632,0.20951054355628562,0.2452305406332016,0.0,0.0,b'NOT',0.0,0.0,0.0,-999.0,-999.0,-999.0,1.7811600000131875,0,0,-99,1,0,0.9488908663397095,1,1,0.00011717984047974826,1.0,2.072949123533806e-05,0.0,0.0,0.0332830185798615,-0.07134489999999971,0.07872645096660565,0.07872645096660574,1.8819071944208523,3.525894838260443,0.2622186197080766,278.0094621211612,0.05647606938413953,0.931625954408661,0.0,0.0,0.0,0.0,1.0,0.25304186384459243,0,0.0,0.0
7,b'W1',b'Wil1_1185',162.72272942,50.99221019,1,6,7200.0,b'Wil1_2B',0.75,59969.49891883333,b'J105053.46+505931.96_DEIMOS_20230125_20230125.fits',22.391661394367325,0,1,-0.00020749855464817317,-13.971458334759298,1.81439005999875,0.0,1.849645523178209,b'munozf',b' ',19.977404382219515,19.696358059409107,0.0036,0.0036,0.01008002984329602,1.9996750848451015,14.723358387220191,0.15718052429701135,0.4048986588147264,0.09141425374599177,0.26848366197579,0.08449852264769035,3.621302575482063,0.1590670579364845,-1.5848170394484924,0.1369292750384781,0.7768117269832082,1.4334203937805294,1.411070454718325,1.0,6000.0,-1.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.7811600000131875,0,0,-99,-99,0,0.5998491717199815,1,1,1.0,0.9776035898182244,0.9992895297982125,0.5859980734501283,1.0,0.23833614848687318,-0.05788980999999893,0.24526587568879785,0.24526587568879787,5.862929299333814,7.5661309815270945,5.043744618648624,329.3477253133859,0.19883558494776035,0.41579716712390374,0.3531212172307301,0.9967479967921608,,,,0.8520339800261403,0,0.3542733151881739,0.4144449934026063
9,b'W1',b'Wil1_1258',162.51328076,50.95564151,1,6,7200.0,b'Wil1_2B',0.75,59969.49891883333,b'J105003.19+505720.31_DEIMOS_20230125_20230125.fits',17.162094860476678,0,1,-0.00011749855464817317,56.25176914848395,2.159381527962549,0.0,1.7747299399156535,b'munozf',b' ',20.46632735103839,20.198421384575727,0.0036,0.0042,0.01060922223540258,2.49511567041246,8.55221794348758,0.09130001088417469,0.14465879789472566,0.11873089369939471,0.2867388784715281,0.12120010959974076,2.8664899190403546,0.21380397975978507,-1.8476860885273452,0.15958203662578832,0.6022621622796631,1.1847326777956262,1.079495078965065,1.0,6000.0,-1.0,835972709371794688,-1.2671990294154185,0.41057631373405457,-4.184445309222287,0.5683423280715942,-0.019919928163290024,0.08339419753149152,0.5589291453361511,0.0,1.9850583460654216e-15,b'NOT',0.0,0.0,0.0,-999.0,-999.0,-999.0,1.7811600000131875,0,0,-99,1,0,0.6360748558327106,1,1,0.38130813147926285,1.0,0.0015578626005427639,0.00037784479705867667,0.0,0.10666821585811055,-0.09445849000000095,0.14247987439436052,0.14247987439436055,3.4058934118173836,5.762036361266014,1.7782549574908437,301.4739707192275,0.18532982865061032,0.4666231715231135,0.0,1.3080170542512768e-05,0.0,0.0,1.0,0.9626168079321978,0,0.0,0.0
10,b'W1',b'Wil1_1187',162.66754856,50.97139804,1,6,7200.0,b'Wil1_2B',0.75,59969.49891883333,b'J105040.21+505817.03_DEIMOS_20230125_20230125.fits',15.26521536041991,0,1,0.29017250144535184,260.43473533568744,2.0542956520317506,0.0,6.801646576691381,b'munozf',b' ',20.810976894687013,20.52420762618639,0.0044,0.0048,0.010069049435468987,2.830409016250254,13.107876456075168,0.1399343251854519,0.2669805977463574,0.17882653508994123,0.12751479393939935,0.1416530609773815,3.5151291617098113,99.0,28.556793492863612,27.81596716743021,2.388164560869435,1.0269597563076864,0.10000484453268962,1.0,5000.0,-2.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.7811600000131875,0,0,-99,-99,0,0.7904947269035221,1,1,1.0,1.0,0.0,0.0,0.0,0.20364721919566928,-0.07870196000000362,0.21832587660186123,0.21832587660186115,5.21894525741501,7.336206905932532,4.105304654467975,321.8703653767049,0.14665033206682068,0.6206305488240024,0.0,0.0,,,,0.5451417710736906,0,0.33833163656835324,0.0
