,Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,u*mag,g'mag,r'mag,i'mag,z'mag,gr,r
17,0.00012351,-2.1,10.1,0.5785084367,2.3059303837,0.578,-0.689,3.7215,4.727,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.46e-14,0.0,0.7941,0.2058,1.967e-05,5.312e-06,4.822e-05,-1.0,7.06e-05,6.493,7.94,7.024,6.47,6.287,6.203,0.5540000000000003,24.400121911934875
18,0.00012351,-2.1,10.1,0.6006208658,2.3215416132,0.6,-0.597,3.7327,4.696,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.84e-14,0.0,0.8,0.1999,1.917e-05,5.179e-06,4.702e-05,-1.0,6.12e-05,6.261,7.59,6.746,6.235,6.07,5.998,0.5110000000000001,24.165121911934875
19,0.00012351,-2.1,10.1,0.6099811196,2.3277591161,0.61,-0.554,3.7383,4.682,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.04e-14,0.0,0.8032,0.1967,1.89e-05,5.108e-06,4.638e-05,-1.0,0.0001278,6.155,7.43,6.618,6.128,5.971,5.906,0.4900000000000002,24.058121911934876
20,0.00012351,-2.1,10.1,0.6197433472,2.3340140724,0.619,-0.509,3.7441,4.668,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.29e-14,0.0,0.8066,0.1933,1.861e-05,5.031e-06,4.569e-05,-1.0,0.0001068,6.044,7.266,6.485,6.018,5.87,5.811,0.4670000000000005,23.948121911934876
21,0.00012351,-2.1,10.1,0.6292208433,2.3398735513,0.629,-0.466,3.7497,4.653,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-1.85e-15,0.0,0.8102,0.1897,1.832e-05,4.953e-06,4.499e-05,-1.0,8.58e-05,5.934,7.107,6.356,5.91,5.771,5.718,0.44599999999999973,23.840121911934876
22,0.00012351,-2.1,10.1,0.6403868198,2.346521658,0.64,-0.413,3.7563,4.635,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.64e-17,0.0,0.8145,0.1854,1.796e-05,4.856e-06,4.412e-05,-1.0,8.863e-05,5.804,6.925,6.204,5.783,5.655,5.609,0.4209999999999994,23.713121911934877
23,0.00012351,-2.1,10.1,0.6499999762,2.3520353107,0.65,-0.368,3.7618,4.618,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-3.27e-14,0.0,0.8185,0.1814,1.763e-05,4.768e-06,4.333e-05,-1.0,0.0001303,5.69,6.769,6.073,5.674,5.554,5.513,0.399,23.604121911934875
24,0.00012351,-2.1,10.1,0.6598655581,2.357502085,0.66,-0.32,3.7672,4.598,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-3.71e-14,0.0,0.8237,0.1761,1.72e-05,4.653e-06,4.23e-05,-1.0,0.0001227,5.57,6.614,5.939,5.559,5.447,5.412,0.3799999999999999,23.489121911934877
25,0.00012351,-2.1,10.1,0.6694571972,2.3626398014,0.669,-0.273,3.7724,4.577,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-3.39e-14,0.0,0.8291,0.1708,1.675e-05,4.534e-06,4.123e-05,-1.0,0.0001129,5.451,6.463,5.806,5.445,5.341,5.311,0.36099999999999977,23.375121911934876
26,0.00012351,-2.1,10.1,0.6786139011,2.3673890378,0.678,-0.226,3.7772,4.556,1,0.0,0.541,0.0,0.0,0.0,0.0,0.0,-1,-1.68e-14,0.0,0.8346,0.1653,1.63e-05,4.413e-06,4.014e-05,-1.0,0.0001104,5.334,6.319,5.677,5.333,5.236,5.211,0.3439999999999994,23.263121911934874
27,0.00012351,-2.1,10.1,0.6867399216,2.3714819469,0.686,-0.183,3.7816,4.536,1,0.0,0.541,0.0,0.0,0.0,0.0,0.0,-1,-5.63e-18,0.0,0.8398,0.1601,1.587e-05,4.299e-06,3.913e-05,-1.0,8.193e-05,5.227,6.188,5.559,5.23,5.139,5.118,0.32899999999999974,23.160121911934876
28,0.00012351,-2.1,10.1,0.6946130395,2.3753426161,0.694,-0.139,3.7857,4.514,1,0.0,0.54,0.0,0.0,0.0,0.0,0.0,-1,-1.11e-15,0.0,0.8451,0.1549,1.543e-05,4.184e-06,3.809e-05,-1.0,6.974e-05,5.119,6.06,5.441,5.126,5.042,5.025,0.3149999999999995,23.056121911934877
29,0.00012351,-2.1,10.1,0.6999999881,2.3779266974,0.7,-0.109,3.7885,4.498,1,0.0,0.54,0.0,0.0,0.0,0.0,0.0,-1,-6.56e-14,0.0,0.8488,0.1511,1.513e-05,4.102e-06,3.735e-05,-1.0,7.187e-05,5.043,5.971,5.358,5.053,4.974,4.96,0.3049999999999997,22.983121911934877
